Instância,FFF,HFF,PLI,Limite teórico
in/1.json,8,9,8,7
in/3.json,2,3,2,1
in/4.json,2,3,2,1
in/5.json,INVIÁVEL,N/A,N/A,3
in/6.json,2,2,2,1
in/7.json,2,2,2,1
in/10.json,8,10,8,7
in/20.json,12,16,12,11
in/21.json,2,4,N/A,1
in/40.json,27,37,35,25
in/60.json,1,2,1,1
in/70.json,2,4,N/A,1
in/100.json,4,7,32,4
in/140.json,20,29,31,17
in/200.json,5,7,N/A,4
in/250.json,37,45,N/A,30
in/490.json,15,20,27,14
in/491.json,16,22,N/A,14
in/492.json,17,26,N/A,15
in/493.json,17,27,N/A,15
in/494.json,19,23,N/A,17
in/495.json,19,26,N/A,17
in/496.json,14,23,N/A,13
in/497.json,15,22,N/A,13
in/498.json,19,26,N/A,18
in/499.json,18,26,N/A,16
in/500.json,16,23,N/A,15
in/650.json,114,243,N/A,100
in/700.json,108,200,N/A,100
in/701.json,104,212,N/A,100
in/702.json,105,206,N/A,100
in/703.json,108,215,N/A,100
in/704.json,108,200,N/A,100
in/705.json,107,199,N/A,100
in/706.json,106,227,N/A,100
in/707.json,109,199,N/A,100
in/708.json,105,217,N/A,100
in/709.json,111,194,N/A,100
in/800.json,104,206,N/A,100
in/890.json,103,206,N/A,100
in/891.json,104,206,N/A,100
in/892.json,103,202,N/A,100
in/893.json,103,210,N/A,100
in/894.json,104,204,N/A,100
in/895.json,102,205,N/A,100
in/896.json,104,208,N/A,100
in/897.json,103,205,N/A,100
in/898.json,103,208,N/A,100
in/899.json,102,208,N/A,100
in/900.json,103,208,N/A,100
